ID,Name,Age,Marks
156,Student156,23,55
157,Student157,21,56
158,Student158,21,40
159,Student159,20,89
160,Student160,24,63
161,Student161,21,38
162,Student162,24,61
163,Student163,24,93
164,Student164,23,67
165,Student165,18,44
166,Student166,20,76
167,Student167,21,57
168,Student168,25,60
169,Student169,22,66
170,Student170,21,90
171,Student171,19,69
172,Student172,19,78
173,Student173,25,40
174,Student174,18,53
175,Student175,24,80
176,Student176,19,42
177,Student177,25,37
178,Student178,22,69
179,Student179,21,90
180,Student180,25,71
181,Student181,23,46
182,Student182,25,57
183,Student183,25,64
184,Student184,23,37
185,Student185,24,67
186,Student186,20,83
187,Student187,20,95
188,Student188,25,92
189,Student189,18,63
190,Student190,23,45
191,Student191,24,40
192,Student192,18,88
193,Student193,20,71
194,Student194,25,62
195,Student195,23,49
196,Student196,22,79
197,Student197,20,69
198,Student198,20,43
199,Student199,19,42
200,Student200,22,39
201,Student201,21,66
202,Student202,22,51
203,Student203,25,98
204,Student204,21,75
205,Student205,18,51
206,Student206,18,54
207,Student207,22,74
208,Student208,18,39
209,Student209,25,61
210,Student210,20,78
211,Student211,20,49
212,Student212,22,87
213,Student213,20,63
214,Student214,18,54
215,Student215,18,92
216,Student216,24,92
217,Student217,23,94
218,Student218,23,49
219,Student219,21,50
220,Student220,19,88
221,Student221,19,81
222,Student222,18,70
223,Student223,22,48
224,Student224,22,66
225,Student225,23,56
226,Student226,21,84
227,Student227,20,48
228,Student228,21,43
229,Student229,20,79
230,Student230,18,77
231,Student231,22,99
232,Student232,24,95
233,Student233,23,48
234,Student234,21,49
235,Student235,22,58
236,Student236,20,96
237,Student237,22,43
238,Student238,25,35
239,Student239,25,54
240,Student240,20,88
241,Student241,24,75
242,Student242,18,57
243,Student243,20,88
244,Student244,20,95
245,Student245,24,69
246,Student246,18,90
247,Student247,21,86
248,Student248,25,90
249,Student249,21,35
250,Student250,22,47
251,Student251,24,35
252,Student252,24,55
253,Student253,18,59
254,Student254,18,73
255,Student255,21,67
256,Student256,18,97
257,Student257,24,49
258,Student258,20,49
259,Student259,18,50
260,Student260,20,83
261,Student261,25,94
262,Student262,19,93
263,Student263,21,56
264,Student264,23,47
265,Student265,24,49
266,Student266,18,91
267,Student267,22,82
268,Student268,19,87
269,Student269,23,72
270,Student270,25,39
271,Student271,18,50
272,Student272,23,47
273,Student273,18,76
274,Student274,18,70
275,Student275,18,35
276,Student276,19,90
277,Student277,23,93
278,Student278,19,99
279,Student279,19,74
280,Student280,25,38
281,Student281,18,58
282,Student282,20,44
283,Student283,23,43
284,Student284,21,50
285,Student285,23,84
286,Student286,22,99
287,Student287,22,56
288,Student288,24,56
289,Student289,20,96
290,Student290,25,93
291,Student291,21,70
292,Student292,20,93
293,Student293,22,44
294,Student294,19,89
295,Student295,19,70
296,Student296,18,37
297,Student297,20,48
298,Student298,19,87
299,Student299,19,65
300,Student300,23,70
301,Student301,24,40
302,Student302,20,92
303,Student303,23,85
304,Student304,18,83
305,Student305,21,74
306,Student306,25,79
307,Student307,25,70
308,Student308,19,70
309,Student309,23,64
310,Student310,22,52
311,Student311,22,63
312,Student312,21,39
313,Student313,23,90
314,Student314,20,48
315,Student315,20,99
316,Student316,21,35
317,Student317,25,48
318,Student318,22,55
319,Student319,23,99
320,Student320,23,47
321,Student321,22,36
322,Student322,18,99
323,Student323,25,85
324,Student324,21,99
325,Student325,20,73
326,Student326,24,86
327,Student327,21,52
328,Student328,25,50
329,Student329,18,93
330,Student330,24,39
331,Student331,18,64
332,Student332,19,94
333,Student333,22,91
334,Student334,21,52
335,Student335,21,91
336,Student336,23,62
337,Student337,21,55
338,Student338,23,38
339,Student339,24,38
340,Student340,19,44
341,Student341,23,91
342,Student342,19,63
343,Student343,23,58
344,Student344,22,49
345,Student345,21,62
346,Student346,22,85
347,Student347,18,39
348,Student348,19,80
349,Student349,25,93
350,Student350,19,50
351,Student351,22,54
352,Student352,18,40
353,Student353,23,100
354,Student354,20,90
355,Student355,22,56
356,Student356,18,54
357,Student357,23,56
358,Student358,23,76
359,Student359,22,81
360,Student360,18,63
361,Student361,21,42
362,Student362,25,98
363,Student363,23,38
364,Student364,21,98
365,Student365,21,59
366,Student366,18,94
367,Student367,25,93
368,Student368,23,89
369,Student369,22,92
370,Student370,19,80
371,Student371,25,72
372,Student372,22,62
373,Student373,18,71
374,Student374,20,87
375,Student375,21,66
376,Student376,24,35
377,Student377,22,74
378,Student378,20,36
379,Student379,20,59
380,Student380,19,59
381,Student381,21,53
382,Student382,18,75
383,Student383,20,59
384,Student384,21,90
385,Student385,25,62
386,Student386,19,51
387,Student387,25,43
388,Student388,20,50
389,Student389,21,60
390,Student390,22,45
391,Student391,18,89
392,Student392,19,45
393,Student393,21,92
394,Student394,24,70
395,Student395,22,58
396,Student396,25,35
397,Student397,20,88
398,Student398,23,73
399,Student399,18,63
400,Student400,24,70
401,Student401,22,90
402,Student402,25,96
403,Student403,22,50
404,Student404,20,66
405,Student405,19,70
406,Student406,19,69
407,Student407,25,56
408,Student408,21,71
409,Student409,19,60
410,Student410,19,85
411,Student411,19,41
412,Student412,19,49
413,Student413,21,70
414,Student414,22,51
415,Student415,25,50
416,Student416,19,45
417,Student417,20,40
418,Student418,23,87
419,Student419,23,79
420,Student420,23,49
421,Student421,21,40
422,Student422,21,73
423,Student423,20,95
424,Student424,20,94
425,Student425,19,88
426,Student426,23,75
427,Student427,18,99
428,Student428,21,100
429,Student429,24,68
430,Student430,20,55
431,Student431,21,47
432,Student432,22,96
433,Student433,24,70
434,Student434,22,43
435,Student435,20,55
436,Student436,22,65
437,Student437,21,62
438,Student438,22,64
439,Student439,23,44
440,Student440,18,77
441,Student441,18,76
442,Student442,19,67
443,Student443,25,73
444,Student444,21,39
445,Student445,21,82
446,Student446,21,94
447,Student447,22,37
448,Student448,22,87
449,Student449,23,62
450,Student450,21,98
451,Student451,22,98
452,Student452,22,84
453,Student453,18,89
454,Student454,18,96
455,Student455,21,47
456,Student456,19,42
457,Student457,23,49
458,Student458,22,45
459,Student459,18,36
460,Student460,23,67
461,Student461,22,43
462,Student462,23,61
463,Student463,20,66
464,Student464,24,81
465,Student465,23,67
466,Student466,20,44
467,Student467,22,53
468,Student468,19,60
469,Student469,23,45
470,Student470,19,85
471,Student471,22,100
472,Student472,25,98
473,Student473,21,76
474,Student474,25,74
475,Student475,18,94
476,Student476,20,48
477,Student477,22,39
478,Student478,21,86
479,Student479,22,39
480,Student480,21,57
481,Student481,25,88
482,Student482,18,80
483,Student483,21,71
484,Student484,18,44
485,Student485,18,39
486,Student486,24,75
487,Student487,25,70
488,Student488,23,70
489,Student489,22,53
490,Student490,24,51
491,Student491,20,44
492,Student492,18,91
493,Student493,22,45
494,Student494,19,56
495,Student495,22,50
496,Student496,18,89
497,Student497,24,99
498,Student498,24,38
499,Student499,24,50
500,Student500,25,54
501,Student501,20,67
502,Student502,22,71
503,Student503,18,85
504,Student504,23,89
505,Student505,19,41
506,Student506,25,95
507,Student507,23,84
508,Student508,21,51
509,Student509,24,46
510,Student510,24,93
511,Student511,23,50
512,Student512,20,97
513,Student513,22,61
514,Student514,19,98
515,Student515,25,99
516,Student516,20,80
517,Student517,21,55
518,Student518,25,87
519,Student519,24,55
520,Student520,21,39
521,Student521,18,36
522,Student522,23,99
523,Student523,24,65
524,Student524,24,40
525,Student525,23,78
526,Student526,19,54
527,Student527,20,39
528,Student528,21,99
529,Student529,19,41
530,Student530,22,64
531,Student531,20,76
532,Student532,21,44
533,Student533,22,67
534,Student534,20,99
535,Student535,24,63
536,Student536,22,53
537,Student537,20,35
538,Student538,22,49
539,Student539,19,45
540,Student540,22,64
541,Student541,25,97
542,Student542,19,55
543,Student543,23,40
544,Student544,19,37
545,Student545,22,87
546,Student546,23,37
547,Student547,25,52
548,Student548,19,49
549,Student549,24,76
550,Student550,19,99
551,Student551,19,57
552,Student552,25,98
553,Student553,23,65
554,Student554,20,57
555,Student555,23,53
556,Student556,23,49
557,Student557,22,48
558,Student558,20,61
559,Student559,23,88
560,Student560,24,95
561,Student561,22,91
562,Student562,24,85
563,Student563,23,99
564,Student564,19,52
565,Student565,21,76
566,Student566,23,50
567,Student567,22,76
568,Student568,19,69
569,Student569,22,37
570,Student570,24,88
571,Student571,20,38
572,Student572,24,96
573,Student573,25,49
574,Student574,21,96
575,Student575,22,39
576,Student576,18,48
577,Student577,24,89
578,Student578,25,90
579,Student579,19,38
580,Student580,24,47
581,Student581,21,44
582,Student582,21,80
583,Student583,22,88
584,Student584,18,81
585,Student585,24,60
586,Student586,25,83
587,Student587,19,67
588,Student588,19,79
589,Student589,21,63
590,Student590,25,89
591,Student591,19,89
592,Student592,24,65
593,Student593,25,95
594,Student594,21,100
595,Student595,24,54
596,Student596,24,44
597,Student597,19,55
598,Student598,20,92
599,Student599,24,35
600,Student600,24,37
601,Student601,18,96
602,Student602,20,58
603,Student603,24,47
604,Student604,20,51
605,Student605,22,53
606,Student606,19,93
607,Student607,23,85
608,Student608,20,97
609,Student609,21,73
610,Student610,19,88
611,Student611,22,65
612,Student612,24,97
613,Student613,18,73
614,Student614,19,67
615,Student615,18,38
616,Student616,18,48
617,Student617,23,38
618,Student618,22,51
619,Student619,22,74
620,Student620,22,38
621,Student621,24,86
622,Student622,22,61
623,Student623,18,50
624,Student624,20,75
625,Student625,18,36
626,Student626,25,77
627,Student627,23,60
628,Student628,18,42
629,Student629,25,57
630,Student630,20,46
631,Student631,19,49
632,Student632,20,72
633,Student633,23,66
634,Student634,25,76
635,Student635,25,98
636,Student636,23,84
637,Student637,25,70
638,Student638,24,45
639,Student639,22,59
640,Student640,23,95
641,Student641,20,95
642,Student642,24,48
643,Student643,20,66
644,Student644,23,84
645,Student645,22,76
646,Student646,22,60
647,Student647,24,61
648,Student648,23,44
649,Student649,21,82
650,Student650,22,37
651,Student651,24,84
652,Student652,18,73
653,Student653,19,68
654,Student654,22,52
655,Student655,19,51
656,Student656,20,80
657,Student657,25,98
658,Student658,20,52
659,Student659,21,52
660,Student660,18,83
661,Student661,18,99
662,Student662,18,37
663,Student663,20,37
664,Student664,21,63
665,Student665,18,64
666,Student666,20,70
667,Student667,23,80
668,Student668,20,97
669,Student669,21,77
670,Student670,23,50
671,Student671,22,97
672,Student672,21,46
673,Student673,18,68
674,Student674,25,99
675,Student675,22,94
676,Student676,19,66
677,Student677,19,45
678,Student678,18,45
679,Student679,18,83
680,Student680,20,67
681,Student681,19,67
682,Student682,25,64
683,Student683,24,47
684,Student684,18,53
685,Student685,20,62
686,Student686,25,97
687,Student687,21,96
688,Student688,23,70
689,Student689,22,59
690,Student690,22,76
691,Student691,20,54
692,Student692,22,85
693,Student693,19,79
694,Student694,24,80
695,Student695,18,73
696,Student696,23,42
697,Student697,25,71
698,Student698,23,71
699,Student699,19,92
700,Student700,22,56
701,Student701,22,99
702,Student702,20,56
703,Student703,25,76
704,Student704,19,88
705,Student705,22,41
706,Student706,24,47
707,Student707,24,71
708,Student708,24,57
709,Student709,25,80
710,Student710,18,83
711,Student711,25,86
712,Student712,23,73
713,Student713,19,65
714,Student714,24,87
715,Student715,21,95
716,Student716,20,77
717,Student717,21,68
718,Student718,22,85
719,Student719,18,75
720,Student720,23,68
721,Student721,24,79
722,Student722,20,45
723,Student723,19,80
724,Student724,24,82
725,Student725,19,51
726,Student726,24,37
727,Student727,18,92
728,Student728,19,57
729,Student729,25,82
730,Student730,22,99
731,Student731,23,49
732,Student732,25,49
733,Student733,18,61
734,Student734,25,75
735,Student735,21,66
736,Student736,25,42
737,Student737,24,46
738,Student738,21,92
739,Student739,20,86
740,Student740,24,71
741,Student741,25,50
742,Student742,25,80
743,Student743,25,66
744,Student744,21,42
745,Student745,20,64
746,Student746,25,59
747,Student747,23,98
748,Student748,20,83
749,Student749,19,47
750,Student750,25,62
751,Student751,23,100
752,Student752,20,82
753,Student753,25,58
754,Student754,18,59
755,Student755,23,92
756,Student756,20,99
757,Student757,22,40
758,Student758,21,43
759,Student759,19,95
760,Student760,19,55
761,Student761,23,50
762,Student762,25,61
763,Student763,25,75
764,Student764,22,44
765,Student765,19,38
766,Student766,19,53
767,Student767,18,82
768,Student768,20,51
769,Student769,25,41
770,Student770,22,82
771,Student771,22,50
772,Student772,23,91
773,Student773,22,48
774,Student774,20,93
775,Student775,25,45
776,Student776,23,76
777,Student777,21,88
778,Student778,20,78
779,Student779,18,74
780,Student780,20,62
781,Student781,25,73
782,Student782,24,75
783,Student783,25,40
784,Student784,20,52
785,Student785,18,36
786,Student786,22,70
787,Student787,24,36
788,Student788,19,86
789,Student789,20,79
790,Student790,24,61
791,Student791,19,37
792,Student792,23,70
793,Student793,22,89
794,Student794,19,47
795,Student795,23,42
796,Student796,25,75
797,Student797,21,98
798,Student798,23,96
799,Student799,19,46
800,Student800,20,81
801,Student801,25,64
802,Student802,21,74
803,Student803,21,96
804,Student804,21,39
805,Student805,24,48
806,Student806,19,84
807,Student807,22,43
808,Student808,22,46
809,Student809,23,61
810,Student810,19,82
811,Student811,21,43
812,Student812,19,73
813,Student813,24,88
814,Student814,19,90
815,Student815,21,82
816,Student816,18,37
817,Student817,23,35
818,Student818,24,35
819,Student819,25,56
820,Student820,18,75
821,Student821,21,66
822,Student822,23,88
823,Student823,23,51
824,Student824,18,71
825,Student825,25,56
826,Student826,20,43
827,Student827,19,77
828,Student828,23,60
829,Student829,24,93
830,Student830,25,93
831,Student831,23,47
832,Student832,21,78
833,Student833,25,87
834,Student834,25,67
835,Student835,20,83
836,Student836,24,92
837,Student837,20,42
838,Student838,23,56
839,Student839,19,44
840,Student840,21,57
841,Student841,25,40
842,Student842,20,56
843,Student843,22,94
844,Student844,25,95
845,Student845,24,41
846,Student846,18,75
847,Student847,22,69
848,Student848,18,55
849,Student849,18,47
850,Student850,19,74
851,Student851,21,85
852,Student852,22,63
853,Student853,20,59
854,Student854,24,46
855,Student855,24,73
856,Student856,20,55
857,Student857,23,65
858,Student858,23,81
859,Student859,20,57
860,Student860,23,49
861,Student861,19,76
862,Student862,22,70
863,Student863,21,71
864,Student864,19,75
865,Student865,20,56
866,Student866,25,98
867,Student867,18,72
868,Student868,19,47
869,Student869,21,46
870,Student870,19,74
871,Student871,24,73
872,Student872,19,52
873,Student873,19,36
874,Student874,24,48
875,Student875,22,94
876,Student876,22,45
877,Student877,21,41
878,Student878,23,98
879,Student879,23,51
880,Student880,18,68
881,Student881,25,78
882,Student882,19,86
883,Student883,18,39
884,Student884,22,53
885,Student885,25,87
886,Student886,21,68
887,Student887,24,86
888,Student888,24,74
889,Student889,21,46
890,Student890,24,40
891,Student891,20,35
892,Student892,23,69
893,Student893,22,52
894,Student894,18,83
895,Student895,21,78
896,Student896,21,86
897,Student897,21,92
898,Student898,25,52
899,Student899,25,69
900,Student900,19,39
901,Student901,23,64
902,Student902,23,66
903,Student903,23,38
904,Student904,25,60
905,Student905,24,70
906,Student906,22,53
907,Student907,21,48
908,Student908,20,42
909,Student909,25,60
910,Student910,22,97
911,Student911,19,53
912,Student912,21,75
913,Student913,25,100
914,Student914,21,59
915,Student915,24,86
916,Student916,18,43
917,Student917,25,36
918,Student918,25,58
919,Student919,23,59
920,Student920,23,64
921,Student921,18,75
922,Student922,18,40
923,Student923,23,79
924,Student924,22,67
925,Student925,18,78
926,Student926,21,91
927,Student927,25,93
928,Student928,19,94
929,Student929,24,52
930,Student930,20,83
931,Student931,25,66
932,Student932,18,96
933,Student933,22,58
934,Student934,21,68
935,Student935,21,88
936,Student936,23,41
937,Student937,23,61
938,Student938,18,43
939,Student939,24,41
940,Student940,24,67
941,Student941,24,63
942,Student942,20,37
943,Student943,18,35
944,Student944,24,71
945,Student945,23,76
946,Student946,23,77
947,Student947,25,91
948,Student948,24,57
949,Student949,19,44
950,Student950,18,46
951,Student951,23,50
952,Student952,24,74
953,Student953,21,56
954,Student954,18,79
955,Student955,22,97
956,Student956,18,43
957,Student957,23,38
958,Student958,23,95
959,Student959,23,64
960,Student960,19,87
961,Student961,20,69
962,Student962,23,35
963,Student963,20,78
964,Student964,22,84
965,Student965,24,42
966,Student966,25,47
967,Student967,24,90
968,Student968,22,84
969,Student969,18,79
970,Student970,19,41
971,Student971,22,63
972,Student972,18,87
973,Student973,18,64
974,Student974,24,73
975,Student975,20,74
976,Student976,18,63
977,Student977,25,68
978,Student978,19,42
979,Student979,21,99
980,Student980,18,35
981,Student981,21,51
982,Student982,21,43
983,Student983,21,59
984,Student984,22,82
985,Student985,21,91
986,Student986,18,83
987,Student987,20,55
988,Student988,25,48
989,Student989,22,70
990,Student990,25,76
991,Student991,20,67
992,Student992,25,77
993,Student993,24,69
994,Student994,22,66
995,Student995,25,38
996,Student996,20,73
997,Student997,24,84
998,Student998,20,37
999,Student999,23,94
1000,Student1000,22,60
1001,Student1001,23,79
1002,Student1002,23,67
1003,Student1003,25,98
1004,Student1004,21,96
1005,Student1005,21,36
1006,Student1006,24,63
1007,Student1007,23,42
1008,Student1008,19,96
1009,Student1009,25,37
1010,Student1010,20,53
1011,Student1011,19,81
1012,Student1012,24,98
1013,Student1013,25,35
1014,Student1014,19,56
1015,Student1015,24,52
1016,Student1016,22,37
1017,Student1017,24,75
1018,Student1018,25,81
1019,Student1019,25,98
1020,Student1020,21,82
1021,Student1021,21,78
1022,Student1022,19,88
1023,Student1023,19,83
1024,Student1024,22,72
1025,Student1025,18,43
1026,Student1026,21,38
1027,Student1027,19,35
1028,Student1028,20,46
1029,Student1029,24,74
1030,Student1030,24,78
1031,Student1031,18,62
1032,Student1032,19,59
1033,Student1033,20,65
1034,Student1034,18,58
1035,Student1035,25,51
1036,Student1036,20,47
1037,Student1037,20,64
1038,Student1038,21,48
1039,Student1039,21,73
1040,Student1040,20,57
1041,Student1041,19,81
1042,Student1042,18,45
1043,Student1043,23,76
1044,Student1044,18,100
1045,Student1045,19,44
1046,Student1046,24,79
1047,Student1047,25,46
1048,Student1048,24,95
1049,Student1049,22,70
1050,Student1050,24,84
1051,Student1051,18,93
1052,Student1052,20,95
1053,Student1053,23,81
1054,Student1054,22,74
1055,Student1055,24,64
1056,Student1056,25,38
1057,Student1057,22,50
1058,Student1058,21,89
1059,Student1059,24,77
1060,Student1060,25,89
1061,Student1061,24,57
1062,Student1062,18,43
1063,Student1063,25,100
1064,Student1064,22,56
1065,Student1065,19,50
1066,Student1066,20,91
1067,Student1067,20,77
1068,Student1068,20,35
1069,Student1069,22,64
1070,Student1070,18,47
1071,Student1071,20,75
1072,Student1072,21,39
1073,Student1073,25,82
1074,Student1074,18,69
1075,Student1075,24,84
1076,Student1076,22,57
1077,Student1077,19,51
1078,Student1078,20,99
1079,Student1079,23,58
1080,Student1080,21,91
1081,Student1081,20,94
1082,Student1082,25,74
1083,Student1083,23,79
1084,Student1084,21,65
1085,Student1085,20,71
1086,Student1086,24,82
1087,Student1087,24,96
1088,Student1088,24,89
1089,Student1089,20,35
1090,Student1090,18,89
1091,Student1091,20,61
1092,Student1092,22,40
1093,Student1093,23,50
1094,Student1094,23,67
1095,Student1095,19,90
1096,Student1096,23,86
1097,Student1097,24,70
1098,Student1098,22,81
1099,Student1099,25,44
1100,Student1100,18,94
1101,Student1101,18,87
1102,Student1102,24,35
1103,Student1103,20,84
1104,Student1104,18,56
1105,Student1105,18,56
1106,Student1106,22,56
1107,Student1107,25,73
1108,Student1108,20,49
1109,Student1109,25,56
1110,Student1110,19,42
1111,Student1111,18,49
1112,Student1112,25,67
1113,Student1113,19,79
1114,Student1114,20,60
1115,Student1115,25,98
1116,Student1116,25,52
1117,Student1117,22,65
1118,Student1118,20,95
1119,Student1119,18,78
1120,Student1120,23,89
1121,Student1121,19,77
1122,Student1122,24,47
1123,Student1123,24,63
1124,Student1124,22,88
1125,Student1125,25,60
1126,Student1126,18,85
1127,Student1127,24,68
1128,Student1128,21,57
1129,Student1129,21,86
1130,Student1130,18,69
1131,Student1131,23,56
1132,Student1132,21,62
1133,Student1133,20,69
1134,Student1134,19,55
1135,Student1135,22,51
1136,Student1136,21,71
1137,Student1137,25,77
1138,Student1138,25,43
1139,Student1139,23,67
1140,Student1140,24,80
1141,Student1141,25,89
1142,Student1142,24,81
1143,Student1143,20,100
1144,Student1144,23,96
1145,Student1145,21,98
1146,Student1146,20,66
1147,Student1147,23,96
1148,Student1148,18,61
1149,Student1149,18,45
1150,Student1150,19,52
1151,Student1151,21,65
1152,Student1152,21,84
1153,Student1153,21,54
1154,Student1154,20,50
1155,Student1155,19,92
1156,Student1156,23,44
1157,Student1157,21,97
1158,Student1158,23,95
1159,Student1159,24,62
1160,Student1160,22,99
1161,Student1161,24,96
1162,Student1162,21,100
1163,Student1163,22,73
1164,Student1164,23,64
1165,Student1165,25,67
1166,Student1166,21,69
1167,Student1167,23,52
1168,Student1168,25,77
1169,Student1169,23,80
1170,Student1170,25,68
1171,Student1171,21,40
1172,Student1172,25,45
1173,Student1173,23,86
1174,Student1174,18,35
1175,Student1175,21,96
1176,Student1176,20,58
1177,Student1177,23,83
1178,Student1178,22,59
1179,Student1179,20,97
1180,Student1180,20,79
1181,Student1181,21,62
1182,Student1182,22,67
1183,Student1183,19,93
1184,Student1184,20,48
1185,Student1185,25,79
1186,Student1186,21,84
1187,Student1187,21,64
1188,Student1188,25,55
1189,Student1189,18,62
1190,Student1190,19,84
1191,Student1191,19,91
1192,Student1192,20,68
1193,Student1193,22,76
1194,Student1194,25,44
1195,Student1195,18,99
1196,Student1196,18,36
1197,Student1197,22,44
1198,Student1198,21,82
1199,Student1199,18,82
1200,Student1200,19,81
1201,Student1201,21,88
1202,Student1202,19,53
1203,Student1203,21,64
1204,Student1204,19,78
1205,Student1205,19,36
1206,Student1206,20,46
1207,Student1207,18,74
1208,Student1208,25,40
1209,Student1209,20,98
1210,Student1210,21,94
1211,Student1211,19,80
1212,Student1212,25,84
1213,Student1213,22,84
1214,Student1214,18,75
1215,Student1215,19,98
1216,Student1216,18,80
1217,Student1217,19,52
1218,Student1218,23,49
1219,Student1219,23,39
1220,Student1220,24,59
1221,Student1221,19,92
1222,Student1222,25,51
1223,Student1223,19,64
1224,Student1224,18,39
1225,Student1225,23,50
1226,Student1226,24,67
1227,Student1227,19,81
1228,Student1228,25,50
1229,Student1229,20,72
1230,Student1230,22,43
1231,Student1231,25,53
1232,Student1232,21,51
1233,Student1233,18,35
1234,Student1234,21,71
1235,Student1235,21,36
1236,Student1236,23,46
1237,Student1237,24,74
1238,Student1238,23,38
1239,Student1239,24,56
1240,Student1240,23,68
1241,Student1241,18,48
1242,Student1242,24,89
1243,Student1243,21,48
1244,Student1244,19,95
1245,Student1245,23,41
1246,Student1246,25,44
1247,Student1247,23,100
1248,Student1248,24,70
1249,Student1249,21,76
1250,Student1250,18,56
1251,Student1251,21,82
1252,Student1252,19,76
1253,Student1253,23,39
1254,Student1254,18,72
1255,Student1255,19,40
1256,Student1256,23,90
1257,Student1257,25,94
1258,Student1258,24,43
1259,Student1259,25,79
1260,Student1260,24,77
1261,Student1261,18,67
1262,Student1262,22,92
1263,Student1263,21,47
1264,Student1264,18,37
1265,Student1265,25,49
1266,Student1266,19,74
1267,Student1267,21,40
1268,Student1268,19,67
1269,Student1269,22,97
1270,Student1270,19,48
1271,Student1271,25,78
1272,Student1272,19,81
1273,Student1273,18,64
1274,Student1274,23,69
1275,Student1275,23,84
1276,Student1276,18,88
1277,Student1277,22,58
1278,Student1278,21,52
1279,Student1279,22,44
1280,Student1280,23,43
1281,Student1281,20,77
1282,Student1282,21,45
1283,Student1283,25,93
1284,Student1284,25,77
1285,Student1285,21,85
1286,Student1286,20,91
1287,Student1287,25,85
1288,Student1288,20,59
1289,Student1289,21,93
1290,Student1290,22,80
1291,Student1291,21,81
1292,Student1292,24,77
1293,Student1293,21,99
1294,Student1294,22,67
1295,Student1295,20,76
1296,Student1296,18,44
1297,Student1297,21,89
1298,Student1298,21,54
1299,Student1299,25,91
1300,Student1300,21,85
1301,Student1301,19,75
1302,Student1302,19,69
1303,Student1303,24,75
1304,Student1304,25,60
1305,Student1305,23,54
1306,Student1306,21,99
1307,Student1307,18,46
1308,Student1308,20,76
1309,Student1309,23,72
1310,Student1310,22,95
1311,Student1311,20,55
1312,Student1312,18,56
1313,Student1313,24,68
1314,Student1314,24,92
1315,Student1315,20,63
1316,Student1316,18,100
1317,Student1317,21,67
1318,Student1318,25,47
1319,Student1319,24,40
1320,Student1320,22,93
1321,Student1321,25,48
1322,Student1322,21,96
1323,Student1323,20,51
1324,Student1324,24,66
1325,Student1325,25,85
1326,Student1326,19,73
1327,Student1327,25,89
1328,Student1328,18,38
1329,Student1329,20,39
1330,Student1330,23,74
1331,Student1331,20,49
